years,place,lat,lon
8,Chicago,41.8781136,-87.6297982
6,Compton,33.8958492,-118.2200712
31,Los Angeles,34.0522342,-118.2436849
1,Meridian,39.1433881,-121.9146681
20,Atlanta,33.7489954,-84.3879824
4,The Bronx,40.8447819,-73.8648268
18,New York City,40.7127753,-74.0059728
10,Houston,29.7604267,-95.3698028
6,Brooklyn,40.6781784,-73.9441579
2,Detroit,42.331427,-83.0457538
4,Oakland,37.8043637,-122.2711137
3,Queens,40.7282239,-73.7948516
3,St. Louis,38.6270025,-90.19940419999999
2,Pittsburgh,40.44062479999999,-79.9958864
6,Harlem,40.8115504,-73.9464769
4,Lauderhill,26.1403635,-80.2133808
1,San Marcos,29.8832749,-97.9413941
6,New Orleans,29.95106579999999,-90.0715323
1,Baton Rouge,30.4582829,-91.1403196
3,Philadelphia,39.9525839,-75.1652215
1,Las Vegas,36.1699412,-115.1398296
2,Dallas,32.7766642,-96.79698789999999
1,Louisville,38.2526647,-85.7584557
2,Long Beach,33.7700504,-118.1937395
1,Richmond,37.5407246,-77.4360481
1,Portland,45.5230622,-122.6764815
1,San Francisco,37.7749295,-122.4194155
1,Tallahassee,30.4382559,-84.28073289999999
3,Miami,25.7616798,-80.1917902
3,Washington D.C.,38.9071923,-77.0368707
2,Memphis,35.1495343,-90.0489801
1,Springfield,39.9242266,-83.8088171
1,Chattanooga,35.0456297,-85.3096801
1,Raleigh,35.7795897,-78.6381787
1,Tupelo,34.2576066,-88.7033859
